scenario,geometry,run_id,beta_hat,deltaBIC_dbu_vs_null,deltaBIC_dbu_vs_nuis,eps_eff,phys_scale,temporal_tau
MZI_null,MZI,MZI_null_00019,-0.12034159038324282,-2.4838571349980274,0.21215257044361513,0.0,0.0,300
MZI_null,MZI,MZI_null_00020,0.2829278851815795,-1.4762665615044832,-0.22734882783170685,0.0,0.0,300
MZI_null,MZI,MZI_null_00021,-0.011166887364925082,-7.756313645897125,-1.0795416263476507,0.0,0.0,300
MZI_null,MZI,MZI_null_00022,0.009034531491153965,5.389726337455858,-1.5770828943433677,0.0,0.0,300
MZI_null,MZI,MZI_null_00023,0.04523210135004187,-2.1041353091157298,-4.506034112858596,0.0,0.0,300
MZI_null,MZI,MZI_null_00024,0.17142342217725307,0.2557990980603222,1.3730958411291407,0.0,0.0,300
MZI_null,MZI,MZI_null_00025,-0.13640811821921084,2.2083829328082976,-5.205553188376843,0.0,0.0,300
MZI_null,MZI,MZI_null_00026,0.08802856407004055,4.571366877429936,-3.971608975392065,0.0,0.0,300
MZI_null,MZI,MZI_null_00027,-0.08494465944041578,-1.7010459047370763,-2.5104269623485975,0.0,0.0,300
MZI_null,MZI,MZI_null_00028,-0.2325995146599199,-1.794311075581918,-4.186911141178315,0.0,0.0,300
MZI_null,MZI,MZI_null_00029,0.07103886459527724,-4.75827270270141,3.649803215052618,0.0,0.0,300
MZI_null,MZI,MZI_null_00030,-0.11748799385043555,-2.9661845486170266,1.4405516521090092,0.0,0.0,300
MZI_null,MZI,MZI_null_00031,-0.18462964746509328,-1.3176201961876117,2.921428262847284,0.0,0.0,300
MZI_null,MZI,MZI_null_00032,-0.2411224851841841,-1.4460984244030874,-0.2203516172547294,0.0,0.0,300
MZI_null,MZI,MZI_null_00033,0.11727343076659655,-5.710852132634246,-4.9613698392528285,0.0,0.0,300
MZI_null,MZI,MZI_null_00034,0.07829123484253464,-1.1090459803004418,-0.24852144896237038,0.0,0.0,300
MZI_null,MZI,MZI_null_00035,0.05196723142454635,-4.040074164735472,-0.3032389085169893,0.0,0.0,300
MZI_null,MZI,MZI_null_00036,0.043960870994802184,-4.143054254079104,4.5973235334342695,0.0,0.0,300
MZI_null,MZI,MZI_null_00037,0.07107493813676813,-5.573910491607946,0.9696608259014892,0.0,0.0,300
MZI_null,MZI,MZI_null_00038,-0.14620225053409822,0.361253811227356,2.4757867370222124,0.0,0.0,300
MZI_null,MZI,MZI_null_00039,-0.12310234775275657,0.8901283877329655,0.2383427808094949,0.0,0.0,300
MZI_null,MZI,MZI_null_00040,0.1233090239991735,3.6903789479618423,-1.7361643480086115,0.0,0.0,300
MZI_null,MZI,MZI_null_00041,-0.11306042465362343,-4.66854328887657,-3.447430854896315,0.0,0.0,300
MZI_null,MZI,MZI_null_00042,-0.01156525641211563,-0.9765440755500683,-0.16992760200994284,0.0,0.0,300
MZI_null,MZI,MZI_null_00043,0.12407748735540357,-1.9609943243662789,3.360602231471951,0.0,0.0,300
MZI_null,MZI,MZI_null_00044,-0.03969852498569341,6.1605074997688565,0.8770020432950187,0.0,0.0,300
MZI_null,MZI,MZI_null_00045,-0.12857363346244238,-5.212677494183337,0.447417245729556,0.0,0.0,300
MZI_null,MZI,MZI_null_00046,-0.03351941779887763,0.14200148227627585,0.4197128737206346,0.0,0.0,300
MZI_null,MZI,MZI_null_00047,-0.010924336898530916,-4.540381154205215,-5.544541674057594,0.0,0.0,300
MZI_null,MZI,MZI_null_00048,-0.06697724281005316,0.569196382970417,-0.35771876760938814,0.0,0.0,300
MZI_null,MZI,MZI_null_00049,-0.1868608168067982,-1.480457222446454,0.1559521391865104,0.0,0.0,300
MZI_null,MZI,MZI_null_00050,-0.13257861543016994,-1.5388246821634164,-0.8253738446620003,0.0,0.0,300
MZI_null,MZI,MZI_null_00051,-0.17144554467459347,-0.9266379189551501,0.6823535791047033,0.0,0.0,300
MZI_null,MZI,MZI_null_00052,0.16245768647629155,1.161406156104709,-5.133008103871273,0.0,0.0,300
MZI_null,MZI,MZI_null_00053,-0.14067375598726842,-0.4548941983740207,0.5413578527366263,0.0,0.0,300
MZI_null,MZI,MZI_null_00054,0.07725715294590718,9.558194471964164,0.712671532079501,0.0,0.0,300
MZI_null,MZI,MZI_null_00055,0.17033484602708984,0.862005290479607,0.954173753917394,0.0,0.0,300
MZI_null,MZI,MZI_null_00056,-0.04729038669605184,0.27690766147980206,-3.3184756436127154,0.0,0.0,300
MZI_null,MZI,MZI_null_00057,-0.03552279101100133,-3.45609064348731,-0.7543775818410323,0.0,0.0,300
MZI_null,MZI,MZI_null_00058,0.3471987850010263,-7.601795577775244,1.0587805711235405,0.0,0.0,300
MZI_null,MZI,MZI_null_00059,-0.24190738067844775,-3.4157955973683003,2.2668517909020984,0.0,0.0,300
MZI_null,MZI,MZI_null_00060,0.009642002864319415,-5.233234333787919,-3.145911127779905,0.0,0.0,300
MZI_null,MZI,MZI_null_00061,0.10193966234020137,-4.19109989515141,-0.3506242312540754,0.0,0.0,300
MZI_null,MZI,MZI_null_00062,0.006835775985572067,-3.954801042817451,5.431832267975977,0.0,0.0,300
MZI_null,MZI,MZI_null_00063,0.09508785334770169,-8.075427759972822,-0.44063705569171707,0.0,0.0,300
MZI_null,MZI,MZI_null_00064,-0.0992679697152582,0.5573000043886718,-3.377562215298102,0.0,0.0,300
MZI_null,MZI,MZI_null_00065,-0.017210466220034852,-0.4850381630586287,1.5972655825103645,0.0,0.0,300
MZI_null,MZI,MZI_null_00066,-0.18004446105836644,-3.003503707522845,-2.4248359334828686,0.0,0.0,300
MZI_null,MZI,MZI_null_00067,-0.09799938488605678,3.296362720843291,0.21494513288286665,0.0,0.0,300
MZI_null,MZI,MZI_null_00068,-0.18913259315025677,0.7535858411643281,5.3664685910379,0.0,0.0,300
