time_s,eps_hat,V_eff
2597,-1.2519407623417336e-07,0.9590611707614738
2598,6.357422258776511e-07,0.9449886253703211
2599,-6.012111690606485e-07,0.9418968851870574
2600,1.7301245811767773e-06,0.9324677688787616
2601,-3.527669014740125e-06,0.9172188250207561
2602,1.9150352608361307e-06,0.9345038160797093
2603,2.7019021924801913e-06,0.9238847459639827
2604,4.782448625783546e-06,0.9033434970456479
2605,-2.7588557507934e-06,0.9235298183817039
2606,2.7361391607782586e-06,0.915749799751161
2607,5.027370587796122e-07,0.9510368557646612
2608,3.053071479259307e-08,0.9485068121820843
2609,2.190140799089755e-06,0.9216883358930293
2610,9.178808669831953e-07,0.9359624888015823
2611,5.062512459823736e-07,0.9461214447595291
2612,2.6386157245658954e-06,0.9251761666512168
2613,2.9403415658110704e-08,0.9556920568715237
2614,1.924270191088196e-06,0.9210490453825108
2615,2.281524535451128e-06,0.9275093332706994
2616,8.836114296160219e-07,0.9471160340282866
2617,6.083663335367766e-07,0.9483870817601058
2618,2.986687690263553e-06,0.9204442070318084
2619,1.6542913570914631e-06,0.9369271159570769
2620,1.6784937135627105e-06,0.937661771651756
2621,-7.403703623418692e-07,0.9393892394594866
2622,-1.085834267232772e-06,0.947571792636948
2623,-1.7539174954963786e-06,0.9390643980452398
2624,1.6939438376816295e-06,0.9286795199451354
2625,-1.104936911001296e-06,0.9387605825649542
2626,5.755007881634164e-07,0.9462224754513995
2627,-2.594818777683888e-06,0.9231090006640359
2628,-4.7140331680686507e-07,0.9516685541456936
2629,1.5925730812013337e-06,0.9315367292238352
2630,3.216925735454797e-06,0.9156522798529684
2631,7.684101167064573e-07,0.9436687908873539
2632,2.39487909652612e-06,0.9261106444587198
2633,3.2152897216234516e-06,0.915838097008253
2634,-6.392910837095558e-07,0.9515698849906585
2635,4.320922459082699e-07,0.9486453663477092
2636,2.168372717698433e-06,0.9387298358575127
2637,4.581555713626476e-07,0.9480567959665553
2638,-3.218313947973965e-07,0.944375542177317
2639,-2.8144793223386123e-07,0.9514202695682126
2640,2.411325244706338e-06,0.927731050787269
2641,-3.1039594280607586e-07,0.9436413626566913
2642,-1.9185167316568446e-07,0.9498660728421088
2643,-1.6031271619128573e-06,0.9319853271236067
2644,-1.2148674010822293e-06,0.9403831775536485
2645,-6.563481408125968e-07,0.9532271351417707
2646,2.6124756324341905e-06,0.923429869509953
2647,1.598095010213753e-06,0.9363610042385737
2648,-6.069896806471403e-07,0.9501209422650665
2649,7.806827816241033e-07,0.9383535919834102
2650,1.8035735684006921e-06,0.926350136381012
2651,1.9868957147438765e-06,0.9318461366461326
2652,-1.0927999028069825e-07,0.9536896499663419
2653,2.066178083488261e-06,0.9277289170823195
2654,1.7992595335549607e-06,0.9253465076981058
2655,1.7228588003150837e-06,0.9254764274528671
2656,1.1399422985659501e-06,0.9420468611499352
2657,1.477006391445893e-06,0.9429968210356008
2658,-3.398227475918817e-07,0.9486454285551718
2659,-2.4892044791990007e-06,0.922547050810175
2660,4.477820062475668e-07,0.9533589879185795
2661,8.956272503720486e-07,0.9456092499325175
2662,-5.182624052003556e-07,0.9431528001226354
2663,-4.0969257521222626e-07,0.9409339648330343
2664,-5.518357399477775e-07,0.9414119652493569
2665,4.212215173453349e-06,0.9075853980268224
2666,-1.2382420745334158e-06,0.9349961477543015
2667,2.5648657907526387e-06,0.9208427545289275
2668,3.320962579424859e-06,0.9219385466355571
2669,6.210757161410914e-07,0.9405093050787351
2670,-5.932364821738241e-07,0.9450296289776084
2671,1.5989961327914822e-06,0.9407101082030064
2672,1.5055423268516457e-06,0.9331826826061598
2673,3.1388421860566215e-06,0.9227079113045674
2674,-1.711251851425041e-07,0.9478732783321019
2675,1.9927735551073886e-06,0.9315967227942105
2676,-6.852251763892145e-07,0.9440270714972887
2677,-1.520252812928572e-07,0.9487972396393142
2678,-1.153757625358609e-06,0.9340078913936798
2679,4.301042208639455e-06,0.9048583897216477
2680,2.719588665200927e-06,0.9221747815760669
2681,-9.98658921324e-07,0.9346135445602836
2682,-3.406710217241868e-07,0.9573219594577983
2683,5.611266609843402e-07,0.9452940618175945
2684,2.026423865672836e-06,0.932258718944291
2685,2.320431934215868e-06,0.9241685935555267
2686,-9.683534634701122e-07,0.9355937131782734
2687,-1.527061067604999e-06,0.9321285239894639
2688,-5.049319459883876e-06,0.9031297985117215
2689,1.8500221927818128e-06,0.9266224347198843
2690,-1.2784507090336335e-06,0.9448550934683672
2691,2.4829608615899665e-06,0.923883494094715
2692,-1.5215823855354368e-07,0.9486686136373946
2693,-1.3814295400532551e-06,0.9376505383370295
2694,-9.982134287397177e-07,0.9280634940588859
2695,-3.750169165515301e-07,0.9411744126102827
2696,3.831669872901132e-06,0.9200567921542452
2697,-8.606983996150747e-07,0.940892555693613
2698,-1.223520114910507e-07,0.9579655083152492
2699,-1.9906389965015367e-06,0.9324192097797668
2700,2.98238075003439e-06,0.917447824794617
2701,9.688243242759128e-07,0.9455772371984331
2702,-8.459500218834847e-07,0.9447232144388443
2703,-1.5546700800736004e-06,0.9264765471715981
2704,2.2961024865828034e-06,0.922204185333088
2705,1.2185430206075702e-06,0.9319239342458754
2706,1.3810320667608188e-06,0.9278940795489943
2707,3.010266990832283e-06,0.9239644444420944
2708,-3.468544374151603e-08,0.9403380877561424
2709,6.018496192805702e-07,0.9421898191129815
2710,5.6524779862348895e-08,0.9546879044576877
2711,2.8782089728771845e-06,0.9233557056079051
2712,3.322875274202948e-06,0.9027554375715011
2713,4.420422642694732e-07,0.9438207771960864
2714,2.2818077763172826e-06,0.9255897702081374
2715,1.8215896546719114e-06,0.9293760088251481
2716,-1.519752319035073e-07,0.9524856063844132
2717,9.269551386154076e-07,0.9422660016246813
2718,-1.0610566749441237e-06,0.9427785981536075
2719,-7.991317818377375e-07,0.9505745054391332
2720,5.179860527419803e-07,0.9427499927610016
2721,2.3617508813723802e-06,0.9261239618043802
2722,2.0812758736271575e-06,0.9276927269481962
2723,2.0748362910290783e-06,0.9288694334144675
2724,2.3208883114265083e-06,0.932544848545336
2725,-1.6141138991011218e-06,0.9356478163539312
2726,3.866190599239156e-06,0.9144270058708577
2727,4.843434201618195e-06,0.9
2728,1.3431157577856868e-06,0.9390071185295256
2729,8.340196692185005e-08,0.9429877832792789
2730,4.411968064383059e-06,0.9114913403053813
2731,1.8244666539577881e-06,0.9319946970720568
2732,1.1542688230036084e-06,0.9415974654066263
2733,3.2440755657152755e-06,0.9140247711352705
2734,1.0983793104651855e-06,0.9371662858686352
2735,-7.677678714372146e-07,0.9392538504977536
2736,1.2758414612011806e-06,0.9357450904116671
2737,9.723965027319373e-07,0.943899224383346
2738,2.7826398049172785e-06,0.9354426517616667
2739,2.1664509541837724e-06,0.9252510044895651
2740,2.6984745288195213e-06,0.921425815253817
2741,-1.9396030931874282e-07,0.9511744796973018
2742,3.197577497665035e-06,0.9149965915504825
2743,1.434487305052895e-06,0.9379368784985449
2744,-5.944577813641531e-07,0.9368982014121867
2745,-1.3237354428209619e-06,0.9431568921962189
2746,1.8346023214672217e-07,0.9450140062456756
2747,1.4391320673706539e-06,0.9421127480908115
2748,-9.416483525521568e-07,0.9311425908653693
2749,3.2963861445210553e-06,0.9196051092907203
2750,-7.941058150167306e-07,0.9398674158196585
2751,-6.812673876817238e-07,0.9463870390817234
2752,2.569454747000321e-06,0.9276518634519638
2753,1.1946965198285345e-06,0.9399435278009212
2754,-2.630084949950351e-07,0.9451490656390051
2755,9.370744891931216e-07,0.9392458692359806
2756,9.28287227469378e-07,0.9326293081159946
2757,2.341848990963773e-06,0.9212208897759699
2758,-2.4566829844478363e-06,0.9218566321343801
2759,5.810514004103054e-07,0.9542778337669959
2760,1.4244656180759554e-07,0.9496241592238268
2761,1.4418221284701483e-06,0.9280073946796523
2762,7.580513401625689e-07,0.9410972650768136
2763,1.061222460532089e-06,0.9415030696388749
2764,2.2925532286937154e-06,0.9227921548720301
2765,1.7024355246654353e-06,0.9293333731402718
2766,-5.34318067629228e-07,0.9534197073004821
2767,-1.9838869704727237e-06,0.9275779311646976
2768,1.2834612683884298e-06,0.9341680545033096
2769,1.167873248875932e-06,0.9316069021462206
2770,-2.035423869581486e-06,0.9252739173122875
2771,1.1706218702465878e-06,0.9374360308755293
2772,1.9475108569111516e-06,0.9234014835504277
2773,2.3361298336398145e-09,0.9496169172781106
2774,-6.291431871796846e-07,0.9443984475946717
2775,4.747558018331691e-07,0.9476866293929612
2776,1.3896449903666765e-06,0.926836352425313
2777,3.2897671327210804e-06,0.9062408159593798
2778,-1.5650659520218261e-06,0.9339746106130993
2779,1.4010026053379058e-06,0.9345785774568693
2780,5.587181188324211e-08,0.9490301854347836
2781,1.7720453245202119e-06,0.9265469333904252
2782,-8.628891150091642e-07,0.9370433607931489
2783,3.044641893896572e-06,0.9214182425733938
2784,1.8443876294066095e-06,0.9395112804035218
2785,2.18947946350011e-06,0.9288873864113438
2786,3.4268530160524987e-06,0.9108731228229617
2787,4.995556426896064e-07,0.9507857335942803
2788,-2.5963160631395423e-06,0.9200530028441266
2789,2.1927275439951966e-06,0.9286056930383146
2790,1.7500136847508842e-06,0.9229177680006556
2791,-4.247250228422895e-07,0.948998690842097
2792,-5.226869286184049e-07,0.9488973745727678
2793,1.3864803421865927e-06,0.93027505037374
2794,1.4795894299124538e-06,0.938948859687922
2795,1.5052056616590519e-06,0.9376331381277485
2796,-1.8500311288704364e-06,0.9427749215736081
2797,5.452710199684918e-06,0.9026164728599962
2798,1.1102319630522376e-06,0.9368730408162923
2799,3.086046219907319e-07,0.9508335236118373
2800,2.6405773020582316e-06,0.9203461316563366
2801,8.900350467618181e-07,0.9473843420957558
2802,7.599065392768369e-07,0.9429605846811225
2803,3.134119570954218e-06,0.924736485603783
2804,2.216385769520447e-06,0.9224906905742344
2805,-7.719431424268051e-07,0.9386019134564451
2806,8.650136352036506e-08,0.9502148406527025
2807,7.747249435419387e-07,0.9414448777087714
2808,5.101358964325236e-07,0.9405116663967545
2809,1.837308504918097e-07,0.96
2810,2.0463873501073242e-06,0.929636345579672
2811,-1.4844930379282913e-06,0.9302028521850276
2812,8.560399233350209e-07,0.9482375372331003
2813,1.2915120355832169e-06,0.9381626394682175
2814,2.7055327336361605e-06,0.9180882837843962
2815,3.180878864942125e-06,0.9162741337236481
2816,2.7826321231363596e-06,0.9305243038118967
2817,-5.32704341166133e-07,0.9446731389629507
2818,2.190208229666122e-06,0.926664507966835
2819,5.080471355633371e-07,0.9429275433830017
2820,-2.0631460387007704e-06,0.934655963500988
2821,-6.973416441420402e-07,0.9315802665535742
2822,2.6037460191450823e-06,0.9263866064567426
2823,-1.1924943686100271e-06,0.9435061031504829
2824,1.991396237942466e-06,0.9300876432448868
2825,3.607295258686044e-07,0.9457809114268781
2826,1.2545393152264411e-06,0.9335113651584933
2827,2.7176748945485847e-06,0.925601438187911
2828,7.062190529748017e-07,0.9516532856594766
2829,4.3883000513060373e-07,0.9533581195274854
2830,1.3926327842228386e-06,0.9398616582464538
2831,3.3349781572169015e-07,0.937316645399727
2832,1.692078457375343e-06,0.9271395939339456
2833,-6.082206779824006e-08,0.949770865919632
2834,-1.0753251576643663e-07,0.9487661124134565
2835,1.2428797158015896e-06,0.9302001678111057
2836,1.3626014706651683e-06,0.9332679798561532
2837,-7.91976968049102e-07,0.9320733330564038
2838,-1.5726702968180234e-06,0.9343930901269372
2839,9.904713037249927e-07,0.9426872651507621
2840,3.676324019883017e-06,0.9200173234495772
2841,2.520582681308707e-06,0.9307263299900027
2842,1.2124002844546176e-06,0.93868966516927
2843,3.389656827844118e-06,0.9171855087011515
2844,1.3036749504956687e-06,0.9427917542792474
2845,4.781064386422252e-07,0.9445463047117038
2846,-1.2632554233012236e-06,0.9350546281041393
2847,3.926238859148302e-07,0.9447073709816142
2848,2.2227549193230323e-06,0.9227287856293886
2849,3.3120494833525028e-06,0.9065786661719667
2850,1.8818930900400683e-06,0.9352642956923825
2851,2.0323504665010135e-06,0.9351543036503267
2852,5.81871219712057e-07,0.950446365573646
2853,-1.8732409659895854e-07,0.9450922065478541
2854,4.242568877512297e-06,0.9084583952807174
2855,2.4491345661877828e-06,0.9279893106707704
2856,2.0824074835464166e-06,0.9191496411638308
2857,1.5253402019396883e-06,0.9348254637325053
2858,2.4835645889872085e-06,0.9211858220548431
2859,2.836582688663412e-06,0.9156021542629075
2860,1.96066000874512e-07,0.9401478766593172
2861,-8.134034432227936e-07,0.9419007028315353
2862,3.1175512122158266e-06,0.9189993447727081
2863,-1.139982942677959e-06,0.9280457341004832
2864,2.0021597245773386e-06,0.9266914696713061
2865,8.021991765663702e-08,0.9545810643841814
2866,7.042920850581369e-07,0.9414638920370518
2867,1.1800781871248136e-06,0.945608967591579
2868,1.3284316908237137e-06,0.92591918263553
2869,-3.923175521616344e-07,0.9446542803254897
2870,2.3065565391631717e-06,0.9207214146805264
2871,1.1594365037419249e-06,0.9379964573192355
2872,2.552187741160405e-06,0.9194934900821008
2873,1.1889414260491358e-06,0.9457761405617867
2874,2.3633320410521763e-06,0.929363082927061
2875,4.2184194239004324e-07,0.9465385153381917
2876,7.392020324241905e-07,0.9468908229905801
2877,1.765265756868115e-06,0.9292097174522623
2878,3.721884995918656e-06,0.9188029190370374
2879,-4.7091653195448696e-07,0.9435713617021431
2880,6.657650101731638e-07,0.9474237427952152
2881,-3.787613065685428e-07,0.9428664455584002
2882,2.3298768663137843e-06,0.9294945952154514
2883,-2.2077336441512967e-06,0.9312106447923666
2884,-1.4466139725821815e-06,0.9323607386397869
2885,3.341605884830757e-07,0.9443119796598446
2886,-1.2258257819744212e-07,0.9435853016374559
2887,1.7422063278345138e-06,0.9245125117281061
2888,6.619075600124157e-08,0.953293530141399
2889,1.557585680220557e-06,0.9275012586370227
2890,-2.1777440813992e-06,0.922776447451011
2891,-2.576710153178192e-06,0.924691286854445
2892,1.8185457471265612e-07,0.9462688517873511
2893,1.7386529641022568e-06,0.9369815825842932
2894,1.301804589009808e-06,0.9358674942021794
2895,-2.0819420238216973e-07,0.9461637591341474
2896,1.2519805229661022e-06,0.9421074592967164
2897,-1.3112341402274135e-06,0.9312480698454028
2898,9.092606782528725e-07,0.9303519184220028
2899,1.3770806064023566e-06,0.9415113634889731
2900,4.704682231097696e-06,0.9033635272755465
2901,2.2983227380059324e-06,0.9271262142083593
2902,3.5186430283229507e-06,0.9126974315090478
2903,1.447534187564719e-06,0.9385430263736766
2904,1.5425415548249675e-06,0.93071634367621
2905,-1.2863709770175282e-06,0.9422423388006578
2906,1.3219569213877875e-06,0.9371569027895267
2907,2.3503592303314932e-06,0.9307221759487111
2908,1.4936658806152099e-06,0.9382412667182267
2909,7.564691427685335e-08,0.9519126263475297
2910,-1.6005974495073583e-06,0.9340928278738194
2911,2.117913293251287e-06,0.9252267212587644
2912,1.1470594785820516e-06,0.9400357941479333
2913,-5.113530057066484e-07,0.9505318911615884
2914,1.4325606798292167e-06,0.9272947134962987
2915,1.0638955118195054e-06,0.9466298892600207
2916,9.118791868775799e-07,0.9376279220379448
2917,4.397100562085332e-08,0.9487596966866272
2918,-1.0279232059217194e-06,0.9467329481899525
2919,2.401395808138365e-06,0.9313724566638668
2920,-1.4953851742830148e-06,0.9356888708383225
2921,2.6485892530937117e-06,0.9187797005649819
2922,8.020133062925544e-07,0.9364826518242817
2923,2.256519157844691e-06,0.926361624641434
2924,7.694418371407258e-07,0.9366624775079497
2925,3.4026303091382535e-06,0.9162283202454962
2926,2.188291730858215e-06,0.9300373270566313
2927,-5.414589804385086e-07,0.9363794668502426
2928,6.104770556118824e-07,0.9494276389724096
2929,-2.2438152606685524e-06,0.93730293971801
2930,2.2558498394950117e-06,0.9283950036818447
2931,7.316187498530385e-07,0.9469774947885325
2932,-1.041920799968994e-06,0.9417928329693245
2933,1.412155642154647e-06,0.9448555409911404
2934,3.3113763744624834e-07,0.9469118453678411
2935,8.105125720582259e-07,0.9393103979371474
2936,3.290172180376435e-06,0.9122250370927665
2937,-1.5187767091104993e-06,0.9360318382130085
2938,-2.460386380397873e-07,0.9488103324457726
2939,1.9339086905686863e-06,0.9313915291038025
2940,9.556509062463117e-07,0.9301344623917499
2941,1.8152611533536026e-06,0.9328285219046369
2942,3.925520484945869e-06,0.9164309099917282
2943,-1.4618075048631006e-06,0.9406854349712219
2944,-1.1691183208718948e-06,0.942477315286689
2945,3.2502216293114335e-06,0.9268328415583671
2946,2.811490544580243e-07,0.9507185711831474
2947,2.5372641883754926e-06,0.9269804566867357
2948,-1.7661309252668609e-06,0.9331109584443262
2949,1.8301816272486438e-06,0.9316902063642546
2950,-4.615839516036233e-07,0.9443797207924117
2951,2.3632645527931685e-06,0.928334990245231
2952,1.6637988844333927e-06,0.9321189505465595
2953,1.6011825851198412e-06,0.9234561574691994
2954,8.458889895392457e-07,0.9396363953547268
2955,9.601048866079063e-07,0.9345349301480268
2956,1.5108041969337765e-06,0.94450390076815
2957,1.0460869447085559e-06,0.9397717417120771
2958,4.941760934436003e-06,0.9
2959,1.7107743673725315e-06,0.9407941675926619
2960,2.897554823994666e-07,0.951366770919355
2961,1.184021027777852e-06,0.9327866343177549
2962,6.525037020988962e-07,0.943316022786525
2963,-1.0459381109223831e-07,0.9409210459382148
2964,2.5497611340452394e-07,0.9399748120637365
2965,1.7856433970531997e-06,0.9348895263189515
2966,-1.1300618559693756e-06,0.9391093638918453
2967,-1.2413559191611194e-06,0.9357770372424992
2968,-1.5755819437222244e-07,0.9508254829044176
2969,-1.6832935721553696e-06,0.9380825083475366
2970,2.8867087291000965e-06,0.9204118282984066
2971,-1.2438585964561813e-06,0.927094278135648
2972,2.6739534451711453e-06,0.9331800055220163
2973,9.857350676750226e-07,0.9343288963432488
2974,-8.421262031912274e-07,0.9474868189295179
2975,1.186931384660039e-06,0.9332841850779962
2976,4.606306548800244e-06,0.9091639967142795
2977,1.7976673445296415e-06,0.9292334690843342
2978,2.9044161963359332e-06,0.9253652759776061
2979,7.446604574945311e-07,0.9479951524457911
2980,2.594166235007926e-06,0.9254280539720247
2981,-9.254053720981546e-07,0.9356391747859022
2982,-1.628358103180663e-06,0.9403394757333078
2983,-1.429380893623373e-06,0.9358767006204014
2984,-1.6382678507149793e-06,0.9420355764320661
2985,-9.506715763674711e-07,0.9421071998151864
2986,-1.6014863919200556e-06,0.9383391375114847
2987,2.6565493651703164e-06,0.9235224267316625
2988,8.096524598730182e-07,0.9459582716998552
2989,-6.327683408762812e-08,0.9548115380936708
2990,1.3911880752891592e-06,0.9282229397287916
2991,3.8794301724932055e-06,0.9121257566247192
2992,3.722745411694986e-07,0.947104098890622
2993,-2.380389419872438e-07,0.9468551854067493
2994,2.182089259078856e-06,0.9316175839587066
2995,1.909756614538541e-06,0.92789727714708
2996,-4.667248014721446e-07,0.9472722147957007
2997,2.152207416270067e-06,0.9248149099707228
2998,5.492963922436865e-07,0.9464694563094205
2999,7.612100982726028e-07,0.9481738975680419
3000,-1.1846114663402637e-06,0.930888942745788
3001,2.6738998469161343e-06,0.9263465459267881
3002,1.0601289583095438e-06,0.9377292308966162
3003,1.6702814314646027e-06,0.9342414710615253
3004,1.3954220080244966e-06,0.935707793455834
3005,1.7736172327466876e-06,0.9368555673592324
3006,2.3656730631904014e-06,0.9286295578411594
3007,9.087306120545237e-07,0.9431352680053035
3008,2.8328737781211274e-06,0.9208988391555362
3009,4.772359046792967e-07,0.947695520832632
3010,2.099678536618578e-06,0.9285007393421371
3011,1.6376744378040663e-06,0.92942165313966
3012,8.968986964740217e-07,0.9487956957491329
3013,1.889971572912458e-06,0.927865112102862
3014,9.075681387761135e-08,0.9428749306987387
3015,3.520397046100809e-06,0.9098231122876016
3016,-3.145146665743538e-06,0.9115156800073135
3017,9.994375409391604e-07,0.936420548456324
3018,1.1219581608081165e-06,0.940487974467651
3019,-8.730962966836594e-08,0.9445283635913382
3020,2.3763733182364296e-06,0.9277282978720314
3021,-3.381288990978278e-06,0.9085010688174067
3022,-1.9635292115456143e-06,0.9295672968313613
3023,1.2397370503538547e-06,0.9367451436228511
3024,-9.455772403845198e-08,0.9541641048141286
3025,1.4285644967795347e-06,0.9311537579003647
3026,-4.4574082426489006e-07,0.9417317269843358
3027,3.563907038984769e-07,0.9466120175228889
3028,1.5775973150933198e-06,0.9301073897168808
3029,-1.2631829297385965e-06,0.9393356345682924
3030,2.2445252990018337e-06,0.9361055262947734
3031,1.5636530864079694e-06,0.9307138014698386
3032,1.894155058172704e-06,0.9303042804369724
3033,-1.2454066519111811e-06,0.9373036196503265
3034,1.3675295442532561e-06,0.9434925918123255
3035,1.0283838070635211e-06,0.9356394770873194
3036,-2.1149852679659916e-06,0.9227047051493308
3037,-6.435749499098467e-07,0.9518955129718705
3038,6.072358013716167e-07,0.9434796459726037
3039,2.6813612303824193e-06,0.9261995743755229
3040,4.930535075773588e-07,0.9508018099485028
3041,-1.8424216528717978e-07,0.9495758915706646
3042,-1.101218813595053e-06,0.9402888681680486
3043,2.547315836518985e-06,0.9288833495008906
3044,2.361739488669371e-06,0.9408214678302603
3045,4.841268564044114e-07,0.9406399997812709
3046,1.6456234352779852e-06,0.9291421066919376
3047,-9.049455965966319e-07,0.9396885334957554
3048,4.09223649211095e-06,0.9125228030899913
3049,1.5242836862779334e-06,0.9263932614197863
3050,-8.639414351463484e-08,0.9562988583282384
3051,4.801350798065434e-07,0.9561733445628107
3052,1.6326538104339394e-06,0.9329211368310025
3053,4.094504570746918e-07,0.9455802422895024
3054,-1.417006641831772e-06,0.9406952424144512
3055,1.6223961711571588e-06,0.932495074426676
3056,7.34379087017052e-07,0.9467051599074248
3057,4.171477652242032e-06,0.9159430858469266
3058,1.2115035417127378e-06,0.9337719141471156
3059,-1.547916091509482e-06,0.9351343101745665
3060,-3.4393925703672163e-07,0.9473365980772325
3061,1.3798120887136212e-06,0.9397865125126864
3062,-9.672570937504942e-07,0.9358917568540213
3063,4.0890498820225347e-07,0.9472134538785978
3064,1.2367888763096916e-06,0.9505224738378276
3065,-2.713310075765213e-06,0.9284180712002408
3066,2.6126022153660803e-06,0.9192974843590318
3067,1.549990481648318e-07,0.9572578815391839
3068,-8.554719211956161e-08,0.9461167783957819
3069,1.1056337733699584e-06,0.9415053883966934
3070,2.5143570735311985e-06,0.9300598368119515
3071,2.168089040966629e-06,0.9187790187335428
3072,8.467009062348205e-07,0.9448573370970539
3073,2.012193038324098e-06,0.9263282301914351
3074,-7.285439317680755e-07,0.9372567730436484
3075,1.6602663689428292e-06,0.9384336167922476
3076,1.1407301590728952e-06,0.9332430668694298
3077,1.201277334964447e-06,0.933227803779969
3078,-2.7002477825453134e-07,0.9454566733271519
3079,-3.688157759564383e-07,0.9406607535823778
3080,3.39994252066866e-06,0.9065613099773001
3081,-3.666957418502266e-08,0.9485543948239507
3082,2.8839935953736254e-06,0.9226333994549092
3083,4.6095998166586817e-07,0.9416844431155662
3084,2.7544414140579023e-06,0.9184224619859246
3085,1.251788837254566e-06,0.9366351446788921
3086,1.6834111170280692e-06,0.9410214273597639
