scenario,M,Lc,lambda,d,kappa,chi_geom,chi_distance,x_argument,eps_theory,eps_measured,eps_noisy,passes_scaling
"M=1.5,Lc=0.3,λ=5.32e-07,d=0.15",1.5,0.3,5.32e-07,0.15,1.5518527311188417e-11,0.49,0.9244190712276656,0.5,6.432021188189934e-06,5.945883052903206e-06,6.045233333695783e-06,True
"M=1.5,Lc=0.3,λ=5.32e-07,d=0.2",1.5,0.3,5.32e-07,0.2,1.5518527311188417e-11,0.49,0.696769988598061,0.6666666666666667,6.432021188189934e-06,4.481639329957588e-06,3.7790365538837913e-06,True
"M=1.5,Lc=0.3,λ=5.32e-07,d=0.25",1.5,0.3,5.32e-07,0.25,1.5518527311188417e-11,0.49,0.5375080569243935,0.8333333333333334,6.432021188189934e-06,3.4572632109605003e-06,3.089912109827098e-06,True
"M=1.5,Lc=0.3,λ=5.32e-07,d=0.3",1.5,0.3,5.32e-07,0.3,1.5518527311188417e-11,0.49,0.42102443824070834,1.0,6.432021188189934e-06,2.7080381075100002e-06,2.7506867258000084e-06,True
"M=1.5,Lc=0.3,λ=5.32e-07,d=0.4",1.5,0.3,5.32e-07,0.4,1.5518527311188417e-11,0.49,0.2661369635941187,1.3333333333333335,6.432021188189934e-06,1.7117985887979046e-06,1.8129270727587492e-06,True
"M=1.5,Lc=0.3,λ=5.32e-07,d=0.5",1.5,0.3,5.32e-07,0.5,1.5518527311188417e-11,0.49,0.1726382606767304,1.6666666666666667,6.432021188189934e-06,1.110412950564987e-06,1.1256361152649395e-06,True
"M=2.0,Lc=0.3,λ=5.32e-07,d=0.1",2.0,0.3,5.32e-07,0.1,1.5518527311188417e-11,0.49,1.2765843668935803,0.33333333333333337,8.576028250919915e-06,1.0948023595162058e-05,1.0846733985215945e-05,True
"M=2.0,Lc=0.3,λ=5.32e-07,d=0.15",2.0,0.3,5.32e-07,0.15,1.5518527311188417e-11,0.49,0.9244190712276656,0.5,8.576028250919915e-06,7.92784407053761e-06,7.736875818722049e-06,True
"M=2.0,Lc=0.3,λ=5.32e-07,d=0.2",2.0,0.3,5.32e-07,0.2,1.5518527311188417e-11,0.49,0.696769988598061,0.6666666666666667,8.576028250919915e-06,5.975519106610118e-06,5.268724194371415e-06,True
"M=2.0,Lc=0.3,λ=5.32e-07,d=0.25",2.0,0.3,5.32e-07,0.25,1.5518527311188417e-11,0.49,0.5375080569243935,0.8333333333333334,8.576028250919915e-06,4.609684281280669e-06,4.3442239186880275e-06,True
"M=2.0,Lc=0.3,λ=5.32e-07,d=0.3",2.0,0.3,5.32e-07,0.3,1.5518527311188417e-11,0.49,0.42102443824070834,1.0,8.576028250919915e-06,3.6107174766800017e-06,3.4776585598207295e-06,True
"M=2.0,Lc=0.3,λ=5.32e-07,d=0.4",2.0,0.3,5.32e-07,0.4,1.5518527311188417e-11,0.49,0.2661369635941187,1.3333333333333335,8.576028250919915e-06,2.282398118397207e-06,2.4754200208002406e-06,True
"M=2.0,Lc=0.3,λ=5.32e-07,d=0.5",2.0,0.3,5.32e-07,0.5,1.5518527311188417e-11,0.49,0.1726382606767304,1.6666666666666667,8.576028250919915e-06,1.4805506007533166e-06,1.5212501419573497e-06,True
